1706603282.480517 server started (18736): version next-3.4, socket /tmp/tmux-1000/default, protocol 8
1706603282.480570 on Linux 6.6.3-411.asahi.fc39.aarch64+16k #1 SMP PREEMPT_DYNAMIC Tue Dec 19 10:21:20 UTC 2023
1706603282.480575 using libevent 2.1.12-stable poll
1706603282.480576 using ncurses 6.4 20230520
1706603282.490512 cmd_parse_build_commands 0:3 0:24: w
1706603282.490513 cmd_parse_build_commands 0:3 0:25 0:0: new-window
1706603282.490516 cmd_parse_build_commands 0:0: display-menu
1706603282.490517 cmd_parse_build_commands 0:1: -t=
1706603282.490519 cmd_parse_build_commands 0:2: -xM
1706603282.490521 cmd_parse_build_commands 0:3: -yW
1706603282.490522 cmd_parse_build_commands 0:4: -T
1706603282.490524 cmd_parse_build_commands 0:5: #[align=centre]#{session_name}
1706603282.490526 cmd_parse_build_commands 0:6: Next
1706603282.490527 cmd_parse_build_commands 0:7: n
1706603282.490532 cmd_parse_build_commands 0:8 0:0: switch-client
1706603282.490534 cmd_parse_build_commands 0:8 0:1: -n
1706603282.490536 cmd_parse_build_commands 0:9: Previous
1706603282.490538 cmd_parse_build_commands 0:10: p
1706603282.490539 cmd_parse_build_commands 0:11 0:0: switch-client
1706603282.490541 cmd_parse_build_commands 0:11 0:1: -p
1706603282.490543 cmd_parse_build_commands 0:12: 
1706603282.490545 cmd_parse_build_commands 0:13: Renumber
1706603282.490546 cmd_parse_build_commands 0:14: N
1706603282.490548 cmd_parse_build_commands 0:15 0:0: move-window
1706603282.490550 cmd_parse_build_commands 0:15 0:1: -r
1706603282.490552 cmd_parse_build_commands 0:16: Rename
1706603282.490553 cmd_parse_build_commands 0:17: n
1706603282.490555 cmd_parse_build_commands 0:18 0:0: command-prompt
1706603282.490557 cmd_parse_build_commands 0:18 0:1: -I
1706603282.490558 cmd_parse_build_commands 0:18 0:2: #S
1706603282.490560 cmd_parse_build_commands 0:18 0:3 0:0: rename-session
1706603282.490562 cmd_parse_build_commands 0:18 0:3 0:1: --
1706603282.490564 cmd_parse_build_commands 0:18 0:3 0:2: %%
1706603282.490565 cmd_parse_build_commands 0:19: 
1706603282.490567 cmd_parse_build_commands 0:20: New Session
1706603282.490569 cmd_parse_build_commands 0:21: s
1706603282.490571 cmd_parse_build_commands 0:22 0:0: new-session
1706603282.490572 cmd_parse_build_commands 0:23: New Window
1706603282.490574 cmd_parse_build_commands 0:24: w
1706603282.490576 cmd_parse_build_commands 0:25 0:0: new-window
1706603282.490579 cmd_parse_build_commands 0:0: switch-client
1706603282.490580 cmd_parse_build_commands 0:1: -n
1706603282.490585 args_parse_flags: next -n
1706603282.490587 args_parse_flags: -n
1706603282.490588 args_parse: flags end at 2 of 2
1706603282.490591 cmd_parse_build_commands: switch-client -n
1706603282.490593 cmd_parse_build_commands 0:0: switch-client
1706603282.490595 cmd_parse_build_commands 0:1: -p
1706603282.490599 args_parse_flags: next -p
1706603282.490601 args_parse_flags: -p
1706603282.490602 args_parse: flags end at 2 of 2
1706603282.490605 cmd_parse_build_commands: switch-client -p
1706603282.490607 cmd_parse_build_commands 0:0: move-window
1706603282.490608 cmd_parse_build_commands 0:1: -r
1706603282.490612 args_parse_flags: next -r
1706603282.490613 args_parse_flags: -r
1706603282.490615 args_parse: flags end at 2 of 2
1706603282.490617 cmd_parse_build_commands: move-window -r
1706603282.490619 cmd_parse_build_commands 0:0: command-prompt
1706603282.490621 cmd_parse_build_commands 0:1: -I
1706603282.490622 cmd_parse_build_commands 0:2: #S
1706603282.490624 cmd_parse_build_commands 0:3 0:0: rename-session
1706603282.490626 cmd_parse_build_commands 0:3 0:1: --
1706603282.490628 cmd_parse_build_commands 0:3 0:2: %%
1706603282.490630 cmd_parse_build_commands 0:0: rename-session
1706603282.490632 cmd_parse_build_commands 0:1: --
1706603282.490633 cmd_parse_build_commands 0:2: %%
1706603282.490637 args_parse_flags: next --
1706603282.490641 args_parse: flags end at 2 of 3
1706603282.490642 args_parse: 2 = %% (type STRING)
1706603282.490645 cmd_parse_build_commands: rename-session "%%"
1706603282.490647 args_parse_flags: next -I
1706603282.490649 args_parse_flag_argument: -I = #S
1706603282.490651 args_parse: flags end at 3 of 4
1706603282.490654 args_parse: 3 = rename-session "%%" (type COMMANDS)
1706603282.490657 cmd_parse_build_commands: command-prompt -I "#S" { rename-session "%%" }
1706603282.490660 cmd_parse_build_commands 0:0: new-session
1706603282.490663 args_parse: flags end at 1 of 1
1706603282.490665 cmd_parse_build_commands: new-session
1706603282.490670 cmd_parse_build_commands 0:0: new-window
1706603282.490674 args_parse: flags end at 1 of 1
1706603282.490676 cmd_parse_build_commands: new-window
1706603282.490678 args_parse_flags: next -t=
1706603282.490679 args_parse_flag_argument: -t = =
1706603282.490681 args_parse_flags: next -xM
1706603282.490683 args_parse_flag_argument: -x = M
1706603282.490684 args_parse_flags: next -yW
1706603282.490686 args_parse_flag_argument: -y = W
1706603282.490688 args_parse_flags: next -T
1706603282.490691 args_parse_flag_argument: -T = #[align=centre]#{session_name}
1706603282.490692 args_parse_flags: next Next
1706603282.490694 args_parse: flags end at 6 of 26
1706603282.490696 args_parse: 6 = Next (type STRING)
1706603282.490698 args_parse: 7 = n (type STRING)
1706603282.490701 args_parse: 8 = switch-client -n (type COMMANDS)
1706603282.490702 args_parse: 9 = Previous (type STRING)
1706603282.490704 args_parse: 10 = p (type STRING)
1706603282.490707 args_parse: 11 = switch-client -p (type COMMANDS)
1706603282.490709 args_parse: 12 =  (type STRING)
1706603282.490711 args_parse: 13 = Renumber (type STRING)
1706603282.490712 args_parse: 14 = N (type STRING)
1706603282.490715 args_parse: 15 = move-window -r (type COMMANDS)
1706603282.490717 args_parse: 16 = Rename (type STRING)
1706603282.490719 args_parse: 17 = n (type STRING)
1706603282.490723 args_parse: 18 = command-prompt -I "#S" { rename-session "%%" } (type COMMANDS)
1706603282.490725 args_parse: 19 =  (type STRING)
1706603282.490727 args_parse: 20 = New Session (type STRING)
1706603282.490728 args_parse: 21 = s (type STRING)
1706603282.490730 args_parse: 22 = new-session (type COMMANDS)
1706603282.490732 args_parse: 23 = New Window (type STRING)
1706603282.490734 args_parse: 24 = w (type STRING)
1706603282.490736 args_parse: 25 = new-window (type COMMANDS)
1706603282.490756 cmd_parse_build_commands: display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window }
1706603282.490758 args_parse_flags: next -n
1706603282.490759 args_parse_flags: -n
1706603282.490761 args_parse_flags: next M-MouseDown3StatusLeft
1706603282.490763 args_parse: flags end at 2 of 4
1706603282.490765 args_parse: 2 = M-MouseDown3StatusLeft (type STRING)
1706603282.490783 args_parse: 3 = display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window } (type COMMANDS)
1706603282.490803 cmd_parse_build_commands: bind-key -n M-MouseDown3StatusLeft { display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window } }
1706603282.490807 cmdq_get_command: [bind-key/0xaaab51e7be80] group 986
1706603282.490809 cmdq_append <global>: [bind-key/0xaaab51e7be80]
1706603282.490810 yylex_token: end at WS
1706603282.490812 yylex_token: bind
1706603282.490814 yylex_token: end at WS
1706603282.490816 yylex_token: -n
1706603282.490818 yylex_token: end at WS
1706603282.490819 yylex_token: MouseDown3Status
1706603282.490821 yylex_token: end at WS
1706603282.490823 yylex_token: display-menu
1706603282.490824 yylex_token: end at WS
1706603282.490826 yylex_token: -t=
1706603282.490828 yylex_token: end at WS
1706603282.490829 yylex_token: -xW
1706603282.490831 yylex_token: end at WS
1706603282.490832 yylex_token: -yW
1706603282.490834 yylex_token: end at WS
1706603282.490835 yylex_token: -T
1706603282.490838 yylex_token: end at WS
1706603282.490840 yylex_token: #[align=centre]#{window_index}:#{window_name}
1706603282.490842 yylex_token: end at WS
1706603282.490845 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Left
1706603282.490846 yylex_token: end at WS
1706603282.490848 yylex_token: l
1706603282.490850 yylex_token: end at WS
1706603282.490851 yylex_token: swap-window
1706603282.490853 yylex_token: end at }
1706603282.490854 yylex_token: -t:-1
1706603282.490857 yylex_token: end at WS
1706603282.490859 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Right
1706603282.490861 yylex_token: end at WS
1706603282.490862 yylex_token: r
1706603282.490864 yylex_token: end at WS
1706603282.490866 yylex_token: swap-window
1706603282.490868 yylex_token: end at }
1706603282.490869 yylex_token: -t:+1
1706603282.490872 yylex_token: end at WS
1706603282.490874 yylex_token: #{?pane_marked_set,,-}Swap Marked
1706603282.490876 yylex_token: end at WS
1706603282.490877 yylex_token: s
1706603282.490879 yylex_token: end at }
1706603282.490880 yylex_token: swap-window
1706603282.490882 yylex_token: end at WS
1706603282.490884 yylex_token: 
1706603282.490885 yylex_token: end at WS
1706603282.490887 yylex_token: Kill
1706603282.490889 yylex_token: end at WS
1706603282.490890 yylex_token: X
1706603282.490892 yylex_token: end at }
1706603282.490893 yylex_token: kill-window
1706603282.490895 yylex_token: end at WS
1706603282.490897 yylex_token: Respawn
1706603282.490899 yylex_token: end at WS
1706603282.490900 yylex_token: R
1706603282.490902 yylex_token: end at WS
1706603282.490904 yylex_token: respawn-window
1706603282.490905 yylex_token: end at }
1706603282.490907 yylex_token: -k
1706603282.490909 yylex_token: end at WS
1706603282.490911 yylex_token: #{?pane_marked,Unmark,Mark}
1706603282.490912 yylex_token: end at WS
1706603282.490914 yylex_token: m
1706603282.490916 yylex_token: end at WS
1706603282.490917 yylex_token: select-pane
1706603282.490919 yylex_token: end at }
1706603282.490921 yylex_token: -m
1706603282.490923 yylex_token: end at WS
1706603282.490924 yylex_token: Rename
1706603282.490926 yylex_token: end at WS
1706603282.490928 yylex_token: n
1706603282.490930 yylex_token: end at WS
1706603282.490931 yylex_token: command-prompt
1706603282.490933 yylex_token: end at WS
1706603282.490934 yylex_token: -FI
1706603282.490936 yylex_token: end at WS
1706603282.490938 yylex_token: #W
1706603282.490940 yylex_token: end at WS
1706603282.490941 yylex_token: rename-window
1706603282.490943 yylex_token: end at WS
1706603282.490944 yylex_token: -t
1706603282.490946 yylex_token: end at WS
1706603282.490948 yylex_token: #{window_id}
1706603282.490950 yylex_token: end at WS
1706603282.490951 yylex_token: --
1706603282.490953 yylex_token: end at }
1706603282.490954 yylex_token: %%
1706603282.490956 yylex_token: end at WS
1706603282.490958 yylex_token: 
1706603282.490960 yylex_token: end at WS
1706603282.490961 yylex_token: New After
1706603282.490963 yylex_token: end at WS
1706603282.490964 yylex_token: w
1706603282.490966 yylex_token: end at WS
1706603282.490968 yylex_token: new-window
1706603282.490969 yylex_token: end at }
1706603282.490971 yylex_token: -a
1706603282.490973 yylex_token: end at WS
1706603282.490975 yylex_token: New At End
1706603282.490976 yylex_token: end at WS
1706603282.490978 yylex_token: W
1706603282.490980 yylex_token: end at }
1706603282.490981 yylex_token: new-window
1706603282.490984 cmd_parse_build_commands 0:0: bind
1706603282.490985 cmd_parse_build_commands 0:1: -n
1706603282.490987 cmd_parse_build_commands 0:2: MouseDown3Status
1706603282.490989 cmd_parse_build_commands 0:3 0:0: display-menu
1706603282.490991 cmd_parse_build_commands 0:3 0:1: -t=
1706603282.490993 cmd_parse_build_commands 0:3 0:2: -xW
1706603282.490994 cmd_parse_build_commands 0:3 0:3: -yW
1706603282.490996 cmd_parse_build_commands 0:3 0:4: -T
1706603282.490998 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{window_index}:#{window_name}
1706603282.491000 cmd_parse_build_commands 0:3 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1706603282.491002 cmd_parse_build_commands 0:3 0:7: l
1706603282.491004 cmd_parse_build_commands 0:3 0:8 0:0: swap-window
1706603282.491006 cmd_parse_build_commands 0:3 0:8 0:1: -t:-1
1706603282.491008 cmd_parse_build_commands 0:3 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1706603282.491010 cmd_parse_build_commands 0:3 0:10: r
1706603282.491012 cmd_parse_build_commands 0:3 0:11 0:0: swap-window
1706603282.491014 cmd_parse_build_commands 0:3 0:11 0:1: -t:+1
1706603282.491016 cmd_parse_build_commands 0:3 0:12: #{?pane_marked_set,,-}Swap Marked
1706603282.491018 cmd_parse_build_commands 0:3 0:13: s
1706603282.491020 cmd_parse_build_commands 0:3 0:14 0:0: swap-window
1706603282.491022 cmd_parse_build_commands 0:3 0:15: 
1706603282.491024 cmd_parse_build_commands 0:3 0:16: Kill
1706603282.491026 cmd_parse_build_commands 0:3 0:17: X
1706603282.491028 cmd_parse_build_commands 0:3 0:18 0:0: kill-window
1706603282.491029 cmd_parse_build_commands 0:3 0:19: Respawn
1706603282.491031 cmd_parse_build_commands 0:3 0:20: R
1706603282.491033 cmd_parse_build_commands 0:3 0:21 0:0: respawn-window
1706603282.491035 cmd_parse_build_commands 0:3 0:21 0:1: -k
1706603282.491037 cmd_parse_build_commands 0:3 0:22: #{?pane_marked,Unmark,Mark}
1706603282.491038 cmd_parse_build_commands 0:3 0:23: m
1706603282.491040 cmd_parse_build_commands 0:3 0:24 0:0: select-pane
1706603282.491042 cmd_parse_build_commands 0:3 0:24 0:1: -m
1706603282.491044 cmd_parse_build_commands 0:3 0:25: Rename
1706603282.491045 cmd_parse_build_commands 0:3 0:26: n
1706603282.491047 cmd_parse_build_commands 0:3 0:27 0:0: command-prompt
1706603282.491049 cmd_parse_build_commands 0:3 0:27 0:1: -FI
1706603282.491051 cmd_parse_build_commands 0:3 0:27 0:2: #W
1706603282.491053 cmd_parse_build_commands 0:3 0:27 0:3 0:0: rename-window
1706603282.491055 cmd_parse_build_commands 0:3 0:27 0:3 0:1: -t
1706603282.491056 cmd_parse_build_commands 0:3 0:27 0:3 0:2: #{window_id}
1706603282.491058 cmd_parse_build_commands 0:3 0:27 0:3 0:3: --
1706603282.491060 cmd_parse_build_commands 0:3 0:27 0:3 0:4: %%
1706603282.491061 cmd_parse_build_commands 0:3 0:28: 
1706603282.491063 cmd_parse_build_commands 0:3 0:29: New After
1706603282.491065 cmd_parse_build_commands 0:3 0:30: w
1706603282.491067 cmd_parse_build_commands 0:3 0:31 0:0: new-window
1706603282.491068 cmd_parse_build_commands 0:3 0:31 0:1: -a
1706603282.491070 cmd_parse_build_commands 0:3 0:32: New At End
1706603282.491072 cmd_parse_build_commands 0:3 0:33: W
1706603282.491074 cmd_parse_build_commands 0:3 0:34 0:0: new-window
1706603282.491076 cmd_parse_build_commands 0:0: display-menu
1706603282.491078 cmd_parse_build_commands 0:1: -t=
1706603282.491079 cmd_parse_build_commands 0:2: -xW
1706603282.491081 cmd_parse_build_commands 0:3: -yW
1706603282.491083 cmd_parse_build_commands 0:4: -T
1706603282.491085 cmd_parse_build_commands 0:5: #[align=centre]#{window_index}:#{window_name}
1706603282.491086 cmd_parse_build_commands 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1706603282.491088 cmd_parse_build_commands 0:7: l
1706603282.491090 cmd_parse_build_commands 0:8 0:0: swap-window
1706603282.491092 cmd_parse_build_commands 0:8 0:1: -t:-1
1706603282.491094 cmd_parse_build_commands 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1706603282.491095 cmd_parse_build_commands 0:10: r
1706603282.491098 cmd_parse_build_commands 0:11 0:0: swap-window
1706603282.491100 cmd_parse_build_commands 0:11 0:1: -t:+1
1706603282.491102 cmd_parse_build_commands 0:12: #{?pane_marked_set,,-}Swap Marked
1706603282.491103 cmd_parse_build_commands 0:13: s
1706603282.491105 cmd_parse_build_commands 0:14 0:0: swap-window
1706603282.491107 cmd_parse_build_commands 0:15: 
1706603282.491109 cmd_parse_build_commands 0:16: Kill
1706603282.491110 cmd_parse_build_commands 0:17: X
1706603282.491112 cmd_parse_build_commands 0:18 0:0: kill-window
1706603282.491114 cmd_parse_build_commands 0:19: Respawn
1706603282.491116 cmd_parse_build_commands 0:20: R
1706603282.491118 cmd_parse_build_commands 0:21 0:0: respawn-window
1706603282.491119 cmd_parse_build_commands 0:21 0:1: -k
1706603282.491121 cmd_parse_build_commands 0:22: #{?pane_marked,Unmark,Mark}
1706603282.491123 cmd_parse_build_commands 0:23: m
1706603282.491124 cmd_parse_build_commands 0:24 0:0: select-pane
1706603282.491126 cmd_parse_build_commands 0:24 0:1: -m
1706603282.491128 cmd_parse_build_commands 0:25: Rename
1706603282.491129 cmd_parse_build_commands 0:26: n
1706603282.491131 cmd_parse_build_commands 0:27 0:0: command-prompt
1706603282.491133 cmd_parse_build_commands 0:27 0:1: -FI
1706603282.491135 cmd_parse_build_commands 0:27 0:2: #W
1706603282.491137 cmd_parse_build_commands 0:27 0:3 0:0: rename-window
1706603282.491138 cmd_parse_build_commands 0:27 0:3 0:1: -t
1706603282.491142 cmd_parse_build_commands 0:27 0:3 0:2: #{window_id}
1706603282.491144 cmd_parse_build_commands 0:27 0:3 0:3: --
1706603282.491146 cmd_parse_build_commands 0:27 0:3 0:4: %%
1706603282.491147 cmd_parse_build_commands 0:28: 
1706603282.491149 cmd_parse_build_commands 0:29: New After
1706603282.491151 cmd_parse_build_commands 0:30: w
1706603282.491153 cmd_parse_build_commands 0:31 0:0: new-window
1706603282.491154 cmd_parse_build_commands 0:31 0:1: -a
1706603282.491156 cmd_parse_build_commands 0:32: New At End
1706603282.491158 cmd_parse_build_commands 0:33: W
1706603282.491160 cmd_parse_build_commands 0:34 0:0: new-window
1706603282.491162 cmd_parse_build_commands 0:0: swap-window
1706603282.491164 cmd_parse_build_commands 0:1: -t:-1
1706603282.491169 args_parse_flags: next -t:-1
1706603282.491171 args_parse_flag_argument: -t = :-1
1706603282.491172 args_parse: flags end at 2 of 2
1706603282.491175 cmd_parse_build_commands: swap-window -t :-1
1706603282.491177 cmd_parse_build_commands 0:0: swap-window
1706603282.491179 cmd_parse_build_commands 0:1: -t:+1
1706603282.491183 args_parse_flags: next -t:+1
1706603282.491185 args_parse_flag_argument: -t = :+1
1706603282.491187 args_parse: flags end at 2 of 2
1706603282.491189 cmd_parse_build_commands: swap-window -t :+1
1706603282.491192 cmd_parse_build_commands 0:0: swap-window
1706603282.491196 args_parse: flags end at 1 of 1
1706603282.491198 cmd_parse_build_commands: swap-window
1706603282.491200 cmd_parse_build_commands 0:0: kill-window
1706603282.491203 args_parse: flags end at 1 of 1
1706603282.491205 cmd_parse_build_commands: kill-window
1706603282.491207 cmd_parse_build_commands 0:0: respawn-window
1706603282.491209 cmd_parse_build_commands 0:1: -k
1706603282.491213 args_parse_flags: next -k
1706603282.491214 args_parse_flags: -k
1706603282.491216 args_parse: flags end at 2 of 2
1706603282.491218 cmd_parse_build_commands: respawn-window -k
1706603282.491220 cmd_parse_build_commands 0:0: select-pane
1706603282.491222 cmd_parse_build_commands 0:1: -m
1706603282.491226 args_parse_flags: next -m
1706603282.491227 args_parse_flags: -m
1706603282.491229 args_parse: flags end at 2 of 2
1706603282.491231 cmd_parse_build_commands: select-pane -m
1706603282.491237 cmd_parse_build_commands 0:0: command-prompt
1706603282.491239 cmd_parse_build_commands 0:1: -FI
1706603282.491240 cmd_parse_build_commands 0:2: #W
1706603282.491242 cmd_parse_build_commands 0:3 0:0: rename-window
1706603282.491244 cmd_parse_build_commands 0:3 0:1: -t
1706603282.491246 cmd_parse_build_commands 0:3 0:2: #{window_id}
1706603282.491248 cmd_parse_build_commands 0:3 0:3: --
1706603282.491249 cmd_parse_build_commands 0:3 0:4: %%
1706603282.491252 cmd_parse_build_commands 0:0: rename-window
1706603282.491253 cmd_parse_build_commands 0:1: -t
1706603282.491255 cmd_parse_build_commands 0:2: #{window_id}
1706603282.491257 cmd_parse_build_commands 0:3: --
1706603282.491258 cmd_parse_build_commands 0:4: %%
1706603282.491262 args_parse_flags: next -t
1706603282.491264 args_parse_flag_argument: -t = #{window_id}
1706603282.491266 args_parse_flags: next --
1706603282.491267 args_parse: flags end at 4 of 5
1706603282.491269 args_parse: 4 = %% (type STRING)
1706603282.491273 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1706603282.491275 args_parse_flags: next -FI
1706603282.491276 args_parse_flags: -F
1706603282.491278 args_parse_flag_argument: -I = #W
1706603282.491280 args_parse: flags end at 3 of 4
1706603282.491283 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1706603282.491289 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1706603282.491292 cmd_parse_build_commands 0:0: new-window
1706603282.491294 cmd_parse_build_commands 0:1: -a
1706603282.491297 args_parse_flags: next -a
1706603282.491299 args_parse_flags: -a
1706603282.491300 args_parse: flags end at 2 of 2
1706603282.491303 cmd_parse_build_commands: new-window -a
1706603282.491305 cmd_parse_build_commands 0:0: new-window
1706603282.491309 args_parse: flags end at 1 of 1
1706603282.491312 cmd_parse_build_commands: new-window
1706603282.491314 args_parse_flags: next -t=
1706603282.491316 args_parse_flag_argument: -t = =
1706603282.491317 args_parse_flags: next -xW
1706603282.491319 args_parse_flag_argument: -x = W
1706603282.491321 args_parse_flags: next -yW
1706603282.491322 args_parse_flag_argument: -y = W
1706603282.491324 args_parse_flags: next -T
1706603282.491326 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1706603282.491328 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1706603282.491330 args_parse: flags end at 6 of 35
1706603282.491332 args_parse: 6 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1706603282.491334 args_parse: 7 = l (type STRING)
1706603282.491337 args_parse: 8 = swap-window -t :-1 (type COMMANDS)
1706603282.491339 args_parse: 9 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1706603282.491341 args_parse: 10 = r (type STRING)
1706603282.491344 args_parse: 11 = swap-window -t :+1 (type COMMANDS)
1706603282.491346 args_parse: 12 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1706603282.491348 args_parse: 13 = s (type STRING)
1706603282.491350 args_parse: 14 = swap-window (type COMMANDS)
1706603282.491352 args_parse: 15 =  (type STRING)
1706603282.491354 args_parse: 16 = Kill (type STRING)
1706603282.491356 args_parse: 17 = X (type STRING)
1706603282.491358 args_parse: 18 = kill-window (type COMMANDS)
1706603282.491360 args_parse: 19 = Respawn (type STRING)
1706603282.491361 args_parse: 20 = R (type STRING)
1706603282.491364 args_parse: 21 = respawn-window -k (type COMMANDS)
1706603282.491366 args_parse: 22 = #{?pane_marked,Unmark,Mark} (type STRING)
1706603282.491368 args_parse: 23 = m (type STRING)
1706603282.491371 args_parse: 24 = select-pane -m (type COMMANDS)
1706603282.491373 args_parse: 25 = Rename (type STRING)
1706603282.491374 args_parse: 26 = n (type STRING)
1706603282.491380 args_parse: 27 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1706603282.491382 args_parse: 28 =  (type STRING)
1706603282.491384 args_parse: 29 = New After (type STRING)
1706603282.491386 args_parse: 30 = w (type STRING)
1706603282.491388 args_parse: 31 = new-window -a (type COMMANDS)
1706603282.491391 args_parse: 32 = New At End (type STRING)
1706603282.491393 args_parse: 33 = W (type STRING)
1706603282.491395 args_parse: 34 = new-window (type COMMANDS)
1706603282.491426 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1706603282.491429 args_parse_flags: next -n
1706603282.491430 args_parse_flags: -n
1706603282.491432 args_parse_flags: next MouseDown3Status
1706603282.491434 args_parse: flags end at 2 of 4
1706603282.491435 args_parse: 2 = MouseDown3Status (type STRING)
1706603282.491465 args_parse: 3 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1706603282.491498 cmd_parse_build_commands: bind-key -n MouseDown3Status { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1706603282.491503 cmdq_get_command: [bind-key/0xaaab51e7aa30] group 1022
1706603282.491505 cmdq_append <global>: [bind-key/0xaaab51e7aa30]
1706603282.491506 yylex_token: end at WS
1706603282.491508 yylex_token: bind
1706603282.491510 yylex_token: end at WS
1706603282.491511 yylex_token: -n
1706603282.491513 yylex_token: end at WS
1706603282.491515 yylex_token: M-MouseDown3Status
1706603282.491517 yylex_token: end at WS
1706603282.491518 yylex_token: display-menu
1706603282.491520 yylex_token: end at WS
1706603282.491522 yylex_token: -t=
1706603282.491523 yylex_token: end at WS
1706603282.491525 yylex_token: -xW
1706603282.491527 yylex_token: end at WS
1706603282.491528 yylex_token: -yW
1706603282.491530 yylex_token: end at WS
1706603282.491531 yylex_token: -T
1706603282.491534 yylex_token: end at WS
1706603282.491536 yylex_token: #[align=centre]#{window_index}:#{window_name}
1706603282.491538 yylex_token: end at WS
1706603282.491540 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Left
1706603282.491542 yylex_token: end at WS
1706603282.491543 yylex_token: l
1706603282.491546 yylex_token: end at WS
1706603282.491547 yylex_token: swap-window
1706603282.491549 yylex_token: end at }
1706603282.491551 yylex_token: -t:-1
1706603282.491553 yylex_token: end at WS
1706603282.491555 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Right
1706603282.491557 yylex_token: end at WS
1706603282.491558 yylex_token: r
1706603282.491560 yylex_token: end at WS
1706603282.491562 yylex_token: swap-window
1706603282.491564 yylex_token: end at }
1706603282.491565 yylex_token: -t:+1
1706603282.491568 yylex_token: end at WS
1706603282.491569 yylex_token: #{?pane_marked_set,,-}Swap Marked
1706603282.491571 yylex_token: end at WS
1706603282.491573 yylex_token: s
1706603282.491575 yylex_token: end at }
1706603282.491576 yylex_token: swap-window
1706603282.491578 yylex_token: end at WS
1706603282.491579 yylex_token: 
1706603282.491581 yylex_token: end at WS
1706603282.491583 yylex_token: Kill
1706603282.491584 yylex_token: end at WS
1706603282.491586 yylex_token: X
1706603282.491588 yylex_token: end at }
1706603282.491590 yylex_token: kill-window
1706603282.491592 yylex_token: end at WS
1706603282.491593 yylex_token: Respawn
1706603282.491595 yylex_token: end at WS
1706603282.491596 yylex_token: R
